timestamp,high,low,open,close,volume
2019-04-18,1.42,1.26,1.27,1.39,1361933.6
2019-04-19,1.45,1.28,1.39,1.38,931291.43
2019-04-20,1.41,1.32,1.38,1.34,633837.25
2019-04-21,1.38,1.3,1.34,1.33,345291.01
2019-04-22,1.37,1.3,1.33,1.36,360504.99
2019-04-23,1.5,1.35,1.36,1.46,561657.9
2019-04-24,1.46,1.2,1.46,1.23,1526754.47
2019-04-25,1.27,1.09,1.23,1.11,1121069.11
2019-04-26,1.15,1.01,1.11,1.14,1901418.54
2019-04-27,1.25,1.14,1.14,1.21,717687.92
2019-04-28,1.28,1.14,1.21,1.18,501850.97
2019-04-29,1.2,1.1,1.18,1.13,573511.12
2019-04-30,1.22,1.11,1.13,1.2,425737.3
2019-05-01,1.27,1.17,1.2,1.18,182294.04
2019-05-02,1.3,1.18,1.18,1.29,333487.47
2019-05-03,1.37,1.25,1.29,1.28,598271.19
2019-05-04,1.33,1.14,1.28,1.2,565033.51
2019-05-05,1.28,1.14,1.2,1.14,262973.09
2019-05-06,1.28,1.12,1.14,1.23,498445.43
2019-05-07,1.32,1.19,1.23,1.21,489557.08
2019-05-08,1.23,1.14,1.21,1.16,403345.62
2019-05-09,1.22,1.08,1.16,1.1,557543.13
2019-05-10,1.17,1.08,1.1,1.12,465028.65
2019-05-11,1.36,1.1,1.12,1.27,1144768.03
2019-05-12,1.34,1.2,1.27,1.23,471515.18
2019-05-13,1.38,1.22,1.23,1.32,975516.25
2019-05-14,1.49,1.3,1.32,1.49,590792.66
2019-05-15,1.8,1.46,1.49,1.79,1159444.46
2019-05-16,1.94,1.61,1.79,1.71,1185333.63
2019-05-17,1.79,1.52,1.71,1.67,1382899.96
2019-05-18,1.75,1.6,1.67,1.64,356572.11
2019-05-19,1.88,1.63,1.64,1.86,498303.1
2019-05-20,1.86,1.63,1.86,1.66,562110.04
2019-05-21,1.7,1.64,1.66,1.67,417041.77
2019-05-22,1.68,1.55,1.67,1.56,460159.99
2019-05-23,1.64,1.46,1.56,1.63,604497.24
2019-05-24,1.7,1.56,1.63,1.59,367479.18
2019-05-25,1.63,1.54,1.59,1.57,163675.32
2019-05-26,1.72,1.51,1.57,1.68,323890.82
2019-05-27,1.73,1.61,1.68,1.64,342085.19
2019-05-28,1.65,1.57,1.64,1.59,436546.79
2019-05-29,1.61,1.55,1.59,1.58,796047.64
2019-05-30,1.7,1.41,1.58,1.5,1212213.82
2019-05-31,1.54,1.42,1.5,1.51,624288.49
2019-06-01,1.53,1.45,1.51,1.48,340048.59
2019-06-02,1.58,1.47,1.48,1.52,232145.91
2019-06-03,1.52,1.36,1.52,1.37,446856.61
2019-06-04,1.39,1.15,1.37,1.21,1142205.65
2019-06-05,1.25,1.12,1.21,1.19,1188511.56
2019-06-06,1.43,1.16,1.19,1.32,855848.8
2019-06-07,1.43,1.25,1.32,1.32,592111.46
2019-06-08,1.33,1.22,1.32,1.27,377850.69
2019-06-09,1.29,1.18,1.27,1.22,337351.69
2019-06-10,1.32,1.2,1.22,1.298,419975.5
2019-06-11,1.311,1.186,1.298,1.295,450902.02
2019-06-12,1.3,1.232,1.295,1.276,404674.47
2019-06-13,1.318,1.251,1.276,1.275,396747.96
2019-06-14,1.29,1.191,1.275,1.23,541866.42
2019-06-15,1.264,1.213,1.23,1.245,329371.36
2019-06-16,1.311,1.238,1.245,1.298,365889.26
2019-06-17,1.35,1.28,1.298,1.324,608686.43
2019-06-18,1.35,1.213,1.324,1.228,952108.49
2019-06-19,1.283,1.168,1.228,1.2,556420.12
2019-06-20,1.206,1.064,1.2,1.13,1138979.79
2019-06-21,1.225,1.048,1.13,1.169,791074.53
2019-06-22,1.258,1.131,1.169,1.218,1490533.62
2019-06-23,1.263,1.185,1.218,1.191,394865.84
2019-06-24,1.192,1.104,1.191,1.161,717855.09
2019-06-25,1.174,1.055,1.161,1.094,1058726.63
2019-06-26,1.172,1.002,1.094,1.077,1483906.54
2019-06-27,1.109,0.9051,1.077,0.9722,1561931.24
2019-06-28,1.087,0.9665,0.9722,1.002,749735.43
2019-06-29,1.045,0.9343,1.002,1.029,848808.77
2019-06-30,1.048,0.8892,1.029,0.9338,746500.1
2019-07-01,0.973,0.8308,0.9338,0.9203,934692.48
2019-07-02,1.111,0.8593,0.9203,1.016,737652.75
2019-07-03,1.298,1.016,1.016,1.232,1920196.3
2019-07-04,1.316,1.14,1.232,1.199,1072261.61
2019-07-05,1.294,1.188,1.199,1.291,571914.56
